Date,Time,Level,Component,Content,Event
2016-09-28,"04:30:30,",Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E1
2016-09-28,"04:30:31,",Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E2
2016-09-28,"04:30:31,",Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E3
2016-09-28,"04:30:31,",Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E4
2016-09-28,"04:30:31,",Info,CBS,Ending TrustedInstaller initialization.,E5
2016-09-28,"04:30:31,",Info,CBS,Starting the TrustedInstaller main loop.,E6
2016-09-28,"04:30:31,",Info,CBS,TrustedInstaller service starts successfully.,E7
2016-09-28,"04:30:31,",Info,CBS,SQM: Initializing online with Windows opt-in: False,E8
2016-09-28,"04:30:31,",Info,CBS,SQM: Cleaning up report files older than 10 days.,E9
2016-09-28,"04:30:31,",Info,CBS,SQM: Requesting upload of all unsent reports.,E10
2016-09-28,"04:30:31,",Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",E11
2016-09-28,"04:30:31,",Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],E12
2016-09-28,"04:30:31,",Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",E13
2016-09-28,"04:30:31,",Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],E14
2016-09-28,"04:30:31,",Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",E15
2016-09-28,"04:30:31,",Info,CBS,NonStart: Checking to ensure startup processing was not required.,E16
2016-09-28,"04:30:31,",Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",E17
2016-09-28,"04:30:31,",Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",E18
2016-09-28,"04:30:31,",Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",E19
2016-09-28,"04:30:31,",Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,E20
2016-09-28,"04:30:31,",Info,CBS,"NonStart: Success, startup processing not required as expected.",E21
2016-09-28,"04:30:31,",Info,CBS,Startup processing thread terminated normally,E22
2016-09-28,"04:30:31,",Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,E23
2016-09-28,"04:30:31,",Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,E24
2016-09-28,"04:30:31,",Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,E25
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:31,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:31,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:31,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:32,",Info,CBS,Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.,E29
2016-09-28,"04:30:32,",Info,CBS,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],E30
2016-09-28,"04:30:32,",Info,CBS,Session: 30546173_4268042763 initialized by client WindowsUpdateAgent.,E31
2016-09-28,"04:30:32,",Info,CBS,Session: 30546173_4271022933 initialized by client WindowsUpdateAgent.,E32
2016-09-28,"04:30:32,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:32,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:32,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:32,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:32,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:32,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:32,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:32,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
2016-09-28,"04:30:32,",Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E28
2016-09-28,"04:30:32,",Info,CBS,Warning: Unrecognized packageExtended attribute.,E26
2016-09-28,"04:30:32,",Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E27
